Country or Area,Year,Value
Poland,2007,414652.8293
Poland,2006,415341.2989
Poland,2005,400708.689
Poland,2004,400799.4287
Poland,2003,395538.5792
Poland,2002,382301.817
Poland,2001,392522.9688
Poland,2000,393992.7274
Poland,1999,407531.7971
Poland,1998,419389.7683
Poland,1997,450012.328
Poland,1996,460383.54
Poland,1995,446731.8734
Poland,1994,444827.5328
Poland,1993,450937.3424
Poland,1992,450856.6356
Poland,1991,463180.0415
Poland,1990,474554.3223
Portugal,2021,56359.40719
Portugal,2020,58029.3478
Portugal,2019,64115.5062
Portugal,2018,67764.99308
Portugal,2017,71403.99848
Portugal,2016,66351.93586
Portugal,2015,68178.6446
Portugal,2014,64041.758
Portugal,2013,64156.74879
Portugal,2012,66076.80959
Portugal,2011,68058.17479
Portugal,2010,69529.86059
Portugal,2009,73810.10944
Portugal,2008,76900.51429
Portugal,2007,79325.44549
Portugal,2006,81649.4716
Portugal,2005,86489.21915
Portugal,2004,84520.57139
Portugal,2003,81299.14961
Portugal,2002,86394.95185
